이름,이메일,성별,나이,생년월일,주소,관심등록,관심등록일자,시청일자,재생시간,영상길이,카테고리,장르,제목,평점
임꺽정,6**********@naver.com,남,10세,2010년 02월,제주특별자치도 영동군,F,,2018-06-14,28.93,112.55,영화,멜로/로맨스,옆집누나의맛-무삭제,2.5
한석봉,l**********@gmail.com,남,40세,1970년 08월,전라북도 아산시,T,2019-10-04,2020-03-19,120.15,124.21,드라마,성인물(에로),내 아내는 왜! 바람이 났을까?,4.0
황진이,8*****************@hotmail.com,여,40세,1970년 01월,대구광역시 은평구,T,2017-11-12,2021-01-13,5.56,130.61,영화,드라마,마티나,1.2
이몽룡,t******@daum.net,남,10세,2010년 02월,광주광역시 성북구,F,,2021-06-29,83.44,167.75,영화,"멜로/로맨스,드라마",아빠와 딸,2.0
허난설헌,e*****************@naver.com,여,10세,2000년 03월,경상남도 인제군,T,2018-11-13,2019-04-11,51.45,108.41,영화,"드라마,멜로/로맨스","결혼은, 미친짓이다",1.0
이몽룡,q************@gmail.com,남,50세,1970년 03월,제주특별자치도 춘천시,T,2018-02-18,2020-07-11,2.77,120.12,영화,드라마,창은 ,4.0
임꺽정,g*************@daum.net,남,50세,1960년 03월,대전광역시 도봉구,F,,2019-01-03,108.22,122.94,드라마,코미디,스튜디오,2.5
한석봉,h******@naver.com,남,20세,2000년 08월,세종특별자치시 영등포구,T,2019-03-13,2021-02-04,120.19,138.84,영화,드라마,뒷담화: 감독이 미쳤어요,3.5
장길산,1*******@daum.net,남,70세,1940년 06월,제주특별자치도 아산시,T,2021-10-15,2017-07-15,41.28,136.7,영화,멜로/로맨스,이채담의 지스팟-무삭제,3.5
성춘향,i*******************@naver.com,여,10세,2000년 03월,경기도 수원시,F,,2019-09-27,24.99,119.31,드라마,드라마,도가니,1.5
이몽룡,m*******@gmail.com,남,20세,1990년 12월,세종특별자치시 영등포구,F,,2017-11-25,4.74,133.12,드라마,멜로/로맨스,내 친구의 엄마: 친구의 엄마와 아내를 탐하다(무삭제),0.5
장길산,o**************@naver.com,남,50세,1960년 07월,충청남도 고양시,T,2019-04-09,2021-06-06,75.95,121.06,드라마,멜로/로맨스,러시아 가정부,5.0
한석봉,5*******@daum.net,남,60세,1950년 06월,충청남도 수원시,F,,2021-02-05,20.2,104.4,영화,"미스터리,스릴러,드라마",곡성,2.5
장길산,g********@hotmail.com,남,70세,1940년 08월,경기도 과천시,F,,2019-01-23,83.67,119.13,드라마,액션,무영검,3.5
허난설헌,o******************@hotmail.com,여,40세,1980년 06월,대구광역시 송파구,F,,2018-03-12,157.92,163.82,영화,드라마,증인,1.2
허난설헌,_*****************@daum.net,여,70세,1940년 06월,충청북도 김포시,T,2019-11-08,2021-02-11,12.17,107.87,드라마,멜로/로맨스,동창회의 목적 2 (무삭제),3.0
한석봉,e***************@naver.com,남,60세,1950년 07월,제주특별자치도 포천시,F,,2020-10-19,61.21,153.82,드라마,"멜로/로맨스,드라마",에로여비서:끝내주는 미스 정,1.2
황진이,b***********@naver.com,여,50세,1960년 02월,서울특별시 영등포구,F,,2019-01-27,177.32,178.1,영화,멜로/로맨스,여직원들 : 2대2 섹스,4.5
허난설헌,8************@hotmail.com,여,30세,1990년 01월,대전광역시 서초구,F,,2021-04-07,91.86,153.47,영화,드라마,눈물,4.5
한석봉,v******************@gmail.com,남,80세,1930년 12월,대구광역시 도봉구,F,,2020-03-29,12.66,173.16,영화,멜로/로맨스,21살승하의아이돌비밀일기-무삭제,3.5
한석봉,s****@gmail.com,남,20세,2000년 09월,경기도 고양시,F,,2021-09-29,41.12,178.33,드라마,"다큐멘터리,액션",카운터스,4.5
성춘향,8**************@hotmail.com,여,10세,2010년 05월,부산광역시 양천구,T,2020-10-05,2018-10-18,3.49,168.23,드라마,멜로/로맨스,친구엄마: 젊은 장모를 탐하다 (무삭제),2.0
한석봉,7*******@daum.net,남,80세,1930년 01월,대구광역시 종로구,F,,2019-01-19,11.41,105.46,드라마,멜로/로맨스,아내를 바꾸다 무삭제,2.0
장길산,z*****@hotmail.com,남,20세,2000년 02월,대구광역시 서구,T,2018-05-23,2018-01-28,154.2,155.75,영화,멜로/로맨스,매춘 2016,1.2
홍길동,m**************@gmail.com,남,80세,1930년 03월,광주광역시 은평구,F,,2020-03-13,39.89,128.16,영화,다큐멘터리,영화판,0.5
황진이,1********@gmail.com,여,60세,1950년 10월,제주특별자치도 성남시,F,,2018-02-26,102.98,142.3,드라마,"액션,드라마",머니백,5.0
허난설헌,0************@gmail.com,여,40세,1980년 08월,서울특별시 구로구,F,,2019-04-18,29.44,149.99,영화,"멜로/로맨스,드라마",전망 좋은 하우스 - 관음적 욕망 ,5.0
황진이,c**********@naver.com,여,60세,1950년 03월,울산광역시 성북구,F,,2017-11-27,37.67,164.7,영화,멜로/로맨스,엄마의 일탈 - 아들의 친구를 사랑하다,5.0
허난설헌,5********@naver.com,여,50세,1960년 09월,충청남도 수원시,F,,2019-07-16,71.71,94.09,영화,"공포(호러),스릴러",멜리스,5.0
성춘향,d******************@hotmail.com,여,70세,1940년 11월,경상남도 철원군,T,2018-11-22,2019-04-17,82.6,100.27,드라마,드라마,야설 쓰는 여자,1.2
성춘향,d***************@naver.com,여,30세,1980년 03월,전라북도 동해시,T,2021-07-19,2021-11-02,162.06,167.04,영화,성인물(에로),하얀방 : 열 개의 비밀,4.5
황진이,m*****@daum.net,여,60세,1960년 04월,경상북도 홍성군,F,,2019-11-10,31.79,128.57,드라마,성인물(에로),내 아내는 왜! 바람이 났을까?,0.5
성춘향,9*******************@daum.net,여,40세,1970년 05월,강원도 서천군,T,2021-07-05,2021-04-22,96.67,150.82,영화,멜로/로맨스,불륜가족,0.5
이몽룡,f****************@daum.net,남,70세,1950년 08월,경상남도 영동군,F,,2018-07-27,124.34,145.77,드라마,멜로/로맨스,작은 엄마 2: 삼촌의 여자들 (무삭제),3.5
성춘향,4*******@hotmail.com,여,20세,1990년 08월,전라남도 과천시,F,,2020-08-26,12.27,152.38,드라마,액션,사생결단,5.0
허난설헌,y********@daum.net,여,80세,1930년 04월,인천광역시 마포구,F,,2021-02-09,57.79,112.44,영화,"멜로/로맨스,드라마",정사: 불륜의 맛,1.5
허난설헌,g*************@daum.net,여,60세,1950년 06월,강원도 계룡시,F,,2020-06-24,68.78,148.0,영화,다큐멘터리,할매꽃,1.2
임꺽정,0***************@gmail.com,남,70세,1940년 03월,광주광역시 강북구,F,,2017-09-22,83.86,133.5,드라마,드라마,빙우,2.0
성춘향,2**************@gmail.com,여,60세,1960년 06월,대구광역시 구로구,F,,2017-07-12,3.79,132.11,드라마,다큐멘터리,드롭박스,0.5
한석봉,6******@gmail.com,남,80세,1940년 03월,경기도 과천시,T,2019-10-13,2021-05-10,30.24,156.39,영화,멜로/로맨스,여비서,1.0
한석봉,j***********@daum.net,남,80세,1930년 06월,울산광역시 서대문구,F,,2017-10-07,96.27,170.71,영화,멜로/로맨스,착한 형수 3,4.5
허난설헌,0************@gmail.com,여,60세,1950년 02월,경상북도 천안시,T,2021-03-29,2021-10-30,54.67,127.91,영화,멜로/로맨스,가슴 큰 여자선배 무삭제,3.5
이몽룡,9*********@daum.net,남,80세,1940년 12월,세종특별자치시 양천구,F,,2021-11-19,78.93,122.9,드라마,"멜로/로맨스,드라마",내 애인을 빌려드립니다,1.0
임꺽정,c*****@daum.net,남,50세,1960년 02월,제주특별자치도 고양시,T,2019-10-19,2019-06-09,82.82,153.49,드라마,멜로/로맨스,친구누나들,4.0
한석봉,y***************@daum.net,남,10세,2000년 02월,세종특별자치시 강남구,T,2020-05-24,2021-07-20,118.17,123.51,드라마,액션,건달의 법칙,4.5
홍길동,n*****************@naver.com,남,10세,2000년 03월,경상북도 천안시,F,,2018-09-29,84.82,99.38,드라마,멜로/로맨스,자매의교환섹스2-무삭제,4.5
장길산,x*****@hotmail.com,남,80세,1940년 02월,충청북도 청양군,F,,2021-01-24,97.91,107.78,영화,다큐멘터리,언더그라운드,4.5
홍길동,x*****************@hotmail.com,남,80세,1930년 09월,세종특별자치시 북구,F,,2019-02-08,78.77,154.17,영화,액션,깡패법칙,3.5
신사임당,a*********@naver.com,여,70세,1940년 08월,강원도 청양군,T,2018-02-17,2018-03-08,151.51,152.25,드라마,코미디,이장과 군수,1.3
신사임당,k****************@daum.net,여,30세,1980년 12월,울산광역시 관악구,T,2018-11-18,2018-01-04,43.85,128.61,드라마,멜로/로맨스,새엄마와 그녀의 여동생 무삭제판,3.5
성춘향,c************@gmail.com,여,60세,1960년 12월,광주광역시 동작구,T,2018-11-11,2018-06-07,141.32,170.62,드라마,멜로/로맨스,친구 이모 무삭제,4.0
허난설헌,u*****@gmail.com,여,20세,1990년 02월,전라남도 성남시,F,,2021-05-11,56.8,163.93,영화,"드라마,멜로/로맨스",굿바이 썸머,2.5
장희빈,z*****************@hotmail.com,여,70세,1940년 03월,전라북도 청주시,T,2020-09-01,2019-07-14,78.9,109.81,드라마,멜로/로맨스,어우동: 주인 없는 꽃 무삭제판,2.0
장길산,s*****@hotmail.com,남,30세,1980년 08월,전라남도 동두천시,T,2019-05-01,2021-04-19,3.52,121.35,영화,"애니메이션,판타지,어드벤처",우리별 일호와 얼룩소,1.5
신사임당,6******************@hotmail.com,여,80세,1940년 03월,경상북도 고성군,T,2018-09-28,2018-10-02,58.03,119.29,영화,드라마,문영,3.5
신사임당,v*****@naver.com,여,10세,2000년 06월,대전광역시 종로구,T,2020-08-13,2018-05-20,30.65,131.51,드라마,멜로/로맨스,스와핑 : 부부모임 무삭제,2.0
한석봉,s******************@daum.net,남,10세,2000년 02월,울산광역시 중구,F,,2020-05-06,30.65,159.86,영화,멜로/로맨스,착한 엄마,0.5
장희빈,b**********@daum.net,여,70세,1940년 08월,강원도 광주시,T,2018-04-20,2017-12-14,136.56,157.41,영화,"코미디,드라마,멜로/로맨스",썰만화,3.5
홍길동,_*****************@gmail.com,남,30세,1980년 07월,제주특별자치도 홍성군,T,2017-11-29,2019-08-22,128.67,174.52,영화,드라마,말아톤,1.5
한석봉,1****************@daum.net,남,40세,1970년 06월,제주특별자치도 인제군,T,2017-06-06,2019-03-16,147.31,172.55,영화,"멜로/로맨스,코미디",두 얼굴의 여친,2.0
홍길동,3************@daum.net,남,70세,1940년 07월,광주광역시 동구,F,,2019-06-24,46.67,114.92,영화,코미디,올드미스다이어리,1.0
허난설헌,n****************@gmail.com,여,50세,1960년 10월,강원도 포천시,T,2020-10-14,2017-10-09,19.43,118.92,드라마,드라마,대장 김창수,1.3
신사임당,o***************@gmail.com,여,70세,1950년 08월,전라북도 여주시,T,2018-03-04,2020-01-13,27.91,149.87,드라마,"멜로/로맨스,드라마",조건엄마:슈가맘,4.5
이몽룡,y***********@naver.com,남,10세,2000년 02월,충청남도 원주시,F,,2018-11-14,113.77,150.14,드라마,"범죄,코미디",카센타,4.5
장희빈,z*******************@gmail.com,여,30세,1990년 11월,경기도 구리시,F,,2021-12-06,83.43,117.67,영화,드라마,이리,1.5
이몽룡,b**********@daum.net,남,30세,1980년 11월,충청북도 안양시,F,,2021-09-11,86.47,122.12,드라마,드라마,더스트맨,3.5
신사임당,p*******@daum.net,여,10세,2000년 08월,충청남도 시흥시,F,,2018-04-13,43.78,103.35,영화,"SF,판타지,드라마",불청객,4.0
한석봉,y*********@daum.net,남,10세,2000년 03월,부산광역시 종로구,F,,2018-12-16,64.41,146.22,영화,멜로/로맨스,딸의 애인 3 - 무삭제판,2.0
홍길동,s**********@daum.net,남,10세,2010년 09월,대전광역시 동대문구,T,2017-01-07,2019-10-19,122.78,139.71,드라마,멜로/로맨스,아랑의은밀한성감대,2.0
허난설헌,3**********@daum.net,여,50세,1970년 01월,서울특별시 남구,T,2020-09-19,2018-06-17,45.94,155.24,영화,멜로/로맨스,채승하의 비밀의 숲,5.0
허난설헌,c*********@gmail.com,여,30세,1980년 09월,울산광역시 광진구,F,,2021-12-08,51.2,100.91,영화,"코미디,공포(호러)",쇼미더고스트,5.0
임꺽정,r*****@naver.com,남,80세,1930년 09월,대구광역시 금천구,F,,2019-12-24,29.88,128.18,드라마,"스릴러,멜로/로맨스",P.S. 걸,1.5
성춘향,u*****@naver.com,여,50세,1960년 12월,광주광역시 송파구,F,,2017-09-27,78.61,139.03,드라마,범죄,꾼,4.0
임꺽정,p****************@gmail.com,남,70세,1950년 04월,인천광역시 도봉구,T,2017-08-06,2021-03-19,85.83,120.23,영화,"멜로/로맨스,드라마",지인의 노랑꽃,3.0
한석봉,k*******************@naver.com,남,80세,1930년 04월,울산광역시 송파구,T,2020-06-24,2020-11-10,75.36,150.76,드라마,멜로/로맨스,착한 형수 : 뜨거운 유혹,5.0
성춘향,m******@daum.net,여,60세,1960년 02월,부산광역시 서초구,F,,2019-08-12,106.86,164.78,영화,멜로/로맨스,신혼여행 : 불륜,1.0
장희빈,l**************@gmail.com,여,30세,1980년 06월,경기도 삼척시,F,,2020-12-27,51.87,127.79,드라마,"드라마,멜로/로맨스",나는 행복합니다,4.5
황진이,9******@hotmail.com,여,10세,2000년 02월,인천광역시 영등포구,T,2021-04-10,2019-04-06,72.03,96.33,드라마,성인물(에로),착한 숙모 : 삼촌이 출장 간 날,1.3
신사임당,f*********@naver.com,여,20세,1990년 06월,대구광역시 노원구,T,2021-04-25,2018-06-23,34.17,123.93,드라마,"범죄,드라마",더 킹,1.5
성춘향,-******************@gmail.com,여,30세,1980년 08월,강원도 남양주시,T,2020-07-21,2020-09-18,44.52,131.71,영화,기타,친척 여동생,3.0
장길산,3****************@hotmail.com,남,40세,1970년 01월,전라남도 광주시,F,,2017-01-23,8.02,140.05,영화,성인물(에로),불륜여행 : 여친의 언니,4.5
성춘향,t********@gmail.com,여,30세,1980년 06월,광주광역시 동구,T,2020-06-26,2017-08-25,121.61,162.17,드라마,"멜로/로맨스,드라마",맛있는 이모,4.5
홍길동,x************@gmail.com,남,20세,1990년 11월,경상남도 수원시,F,,2021-06-17,26.98,114.49,영화,"멜로/로맨스,스릴러",쾌락의 밀실 무삭제,2.5
성춘향,c****@gmail.com,여,80세,1930년 07월,대전광역시 송파구,F,,2021-11-02,6.41,175.31,드라마,다큐멘터리,이바라키의 여름,3.5
임꺽정,s*********@daum.net,남,80세,1930년 04월,경상남도 철원군,T,2021-05-11,2020-01-31,27.21,102.94,영화,다큐멘터리,다섯 개의 시선,3.0
장희빈,d****************@daum.net,여,10세,2000년 12월,전라북도 부천시,F,,2020-12-26,9.77,124.68,영화,"멜로/로맨스,드라마",동생의 여자들,2.5
허난설헌,o****@naver.com,여,80세,1930년 06월,경상북도 안산시,F,,2017-12-13,61.71,128.84,영화,"드라마,액션",의형제,1.3
황진이,o**************@hotmail.com,여,30세,1990년 01월,경기도 의왕시,F,,2021-03-13,121.67,169.42,영화,드라마,국경의 남쪽,3.0
한석봉,v*******************@daum.net,남,50세,1960년 11월,부산광역시 광진구,T,2017-11-06,2018-06-20,21.76,117.1,드라마,성인물(에로),하이에나,3.0
허난설헌,_*************@daum.net,여,60세,1950년 05월,울산광역시 서구,F,,2019-04-03,35.9,176.52,드라마,드라마,산다,0.5
홍길동,j************@daum.net,남,60세,1950년 04월,경상북도 춘천시,T,2021-12-05,2019-11-22,56.46,134.81,드라마,멜로/로맨스,어린 여동생2,1.5
장길산,c*****************@daum.net,남,10세,2000년 08월,제주특별자치도 보은군,T,2019-01-12,2020-02-08,100.76,120.02,드라마,멜로/로맨스,부부교환의 날: 젊은 사모님을 탐하다-무삭제판,1.5
이몽룡,z******@daum.net,남,10세,2000년 01월,인천광역시 영등포구,T,2018-07-10,2017-08-06,83.44,114.02,영화,액션,용루각: 비정도시,2.0
장길산,z*****************@gmail.com,남,40세,1970년 06월,충청북도 화성시,F,,2021-07-17,82.88,159.26,영화,"멜로/로맨스,드라마",처제의 향기,2.0
황진이,d*********@gmail.com,여,70세,1940년 08월,세종특별자치시 서초구,F,,2021-01-10,67.5,110.25,영화,스릴러,설계,2.0
장희빈,x*************@naver.com,여,10세,2010년 10월,세종특별자치시 강동구,F,,2021-06-27,39.45,120.77,드라마,"멜로/로맨스,드라마",천사의 시간,1.3
홍길동,e******************@daum.net,남,50세,1960년 04월,전라남도 용인시,T,2019-09-02,2019-10-04,88.13,125.57,영화,"액션,스릴러",응징자,1.5
장희빈,w****************@daum.net,여,60세,1950년 10월,전라북도 구리시,F,,2020-07-18,137.94,174.44,영화,드라마,로마서 8:37,4.0
황진이,e****@daum.net,여,70세,1950년 08월,경기도 영동군,F,,2021-05-10,88.61,130.88,드라마,성인물(에로),정사 : 타인의 아내,3.0
홍길동,q****************@hotmail.com,남,70세,1950년 01월,전라남도 화천군,F,,2018-11-11,110.15,136.88,드라마,"코미디,드라마",전국노래자랑,0.5
허난설헌,s*******************@naver.com,여,50세,1970년 08월,울산광역시 성동구,F,,2017-12-03,25.73,110.08,드라마,멜로/로맨스,동생의 여자들 - 감독판,1.0
성춘향,b**************@naver.com,여,20세,1990년 06월,울산광역시 북구,F,,2018-12-30,74.14,112.98,드라마,드라마,반달곰,1.3
허난설헌,3****@naver.com,여,30세,1980년 01월,세종특별자치시 영등포구,F,,2018-04-13,31.62,137.83,드라마,"멜로/로맨스,드라마",낙원-파라다이스,3.0
임꺽정,t****************@gmail.com,남,30세,1990년 07월,울산광역시 종로구,F,,2017-06-06,17.09,157.02,영화,"멜로/로맨스,드라마",헤픈젤: 비밀의 몸캠,3.5
장희빈,s*************@gmail.com,여,60세,1950년 05월,대전광역시 관악구,T,2018-11-11,2018-07-07,35.52,122.56,영화,멜로/로맨스,장난감소녀 섹스어플 중독 무삭제판,0.5
한석봉,-**************@gmail.com,남,80세,1930년 04월,울산광역시 남구,T,2021-05-17,2017-07-02,8.6,167.19,영화,코미디,긴급조치 19호,0.5
장길산,5*************@gmail.com,남,60세,1950년 11월,경기도 삼척시,F,,2017-02-03,25.81,153.14,영화,드라마,폭력의 씨앗,2.5
황진이,s********@gmail.com,여,80세,1930년 05월,대구광역시 성북구,F,,2021-05-24,36.39,179.41,드라마,멜로/로맨스,커피 메이트,3.5
한석봉,d************@hotmail.com,남,30세,1980년 08월,부산광역시 영등포구,T,2021-05-29,2021-08-01,83.16,138.88,영화,멜로/로맨스,관전녀 - 무삭제판,2.5
이몽룡,l*************@naver.com,남,40세,1980년 03월,전라남도 안양시,F,,2017-10-30,101.57,155.72,드라마,코미디,박수건달,2.0
홍길동,3***********@hotmail.com,남,70세,1940년 05월,부산광역시 서대문구,T,2019-06-09,2020-12-22,72.45,134.17,영화,다큐멘터리,택시 블루스,1.3
장길산,p******************@naver.com,남,40세,1970년 01월,제주특별자치도 성남시,F,,2020-09-26,80.04,111.97,영화,"멜로/로맨스,드라마",등산의 참맛,4.0
